repo,project
18F/18f.gsa.gov,18F Website
18F/C2,18F C2
18F/calc,18F CALC
18F/cg-dashboard,Cloud Foundry Dashboard
18F/cg-docs,Cloud.gov
18F/cg-product,Cloud.gov
18F/cg-site,Cloud.gov
18F/crime-data-explorer,FBI Crime Data Explorer
18F/doi-extractives-data,US Extractive Industries Data
18F/fec-cms,18F Federal Election Commision
18F/federalist,Federalist
18F/handbook,18F Handbook
18F/identity-idp,18F Identity Provider
18F/micropurchase,Micro-purchase
18F/openFEC,18F Federal Election Commision
18F/openFEC-web-app,Campaign finance for everyone
18F/tock,tock
18F/web-design-standards,US Web Design Standards
Airbnb/react-native,React
AngularClass/angular2-webpack-starter,Angular
Automattic/WP-Job-Manager,WP Calypso
Automattic/amp-wp,WP Calypso
Automattic/facebook-instant-articles-wp,WP Calypso
Automattic/jetpack,Automattic Jetpack
Automattic/sensei,WP Calypso
Automattic/vip-go-mu-plugins,VIP Go
Automattic/woocommerce-connect-client,Automattic WooCommerce
Automattic/wp-calypso,WP Calypso
Automattic/wp-e2e-tests,WP Calypso
Automattic/wp-super-cache,WP Calypso
Azure/azure-batch-sdk-for-java,Azure SDKs
Azure/azure-iot-gateway-sdk,Azure SDKs
Azure/azure-iot-sdk-c,Azure SDKs
Azure/azure-iot-sdk-csharp,Azure SDKs
Azure/azure-iot-sdk-java,Azure SDKs
Azure/azure-iot-sdk-node,Azure SDKs
Azure/azure-iot-sdk-python,Azure SDKs
Azure/azure-iot-sdks,Azure SDKs
Azure/azure-iot-sdks-preview,Azure SDKs
Azure/azure-quickstart-templates,Azure SDKs
Azure/azure-sdk-for-go,Azure SDKs
Azure/azure-sdk-for-java,Azure SDKs
Azure/azure-sdk-for-media-services,Azure SDKs
Azure/azure-sdk-for-media-services-extensions,Azure SDKs
Azure/azure-sdk-for-net,Azure SDKs
Azure/azure-sdk-for-node,Azure SDKs
Azure/azure-sdk-for-php,Azure SDKs
Azure/azure-sdk-for-python,Azure SDKs
Azure/azure-sdk-for-ruby,Azure SDKs
Azure/azure-sdk-ruby,Azure SDKs
Azure/azure-webjobs-sdk,Azure SDKs
Azure/azure-webjobs-sdk-extensions,Azure SDKs
Azure/azure-webjobs-sdk-script,Azure SDKs
Azure/azure-webjobs-sdk-templates,Azure SDKs
Azure/sonic-py-swsssdk,Azure SDKs
Dronecode/Dronecode-Website-Issues,Dronecode
Dronecode/Technical-Steering-Committee,Dronecode
Dronecode/UX-Design,Dronecode
Dronecode/Vagrant,Dronecode
Dronecode/_Repository-List,Dronecode
Dronecode/sitl_gazeb,Dronecode
EFForg/https-everywhere,HTTPS Everywhere
GoogleChrome/lighthouse,Chromium
GoogleCloudPlatform/DataflowJavaSDK,Google Cloud SDKs
GoogleCloudPlatform/DataflowPythonSDK,Google Cloud SDKs
GoogleCloudPlatform/dotnet-docs-samples,Google Cloud Docs
GoogleCloudPlatform/gcloud-common,Google Cloud SDKs
GoogleCloudPlatform/gcloud-dotnet,Google Cloud SDKs
GoogleCloudPlatform/gcloud-eclipse-tools,Google Cloud SDKs
GoogleCloudPlatform/gcloud-golang,Google Cloud SDKs
GoogleCloudPlatform/gcloud-intellij,Google Cloud SDKs
GoogleCloudPlatform/gcloud-java,Google Cloud SDKs
GoogleCloudPlatform/gcloud-maven-plugin,Google Cloud SDKs
GoogleCloudPlatform/gcloud-node,Google Cloud Platform
GoogleCloudPlatform/gcloud-node-todos,Google Cloud SDKs
GoogleCloudPlatform/gcloud-php,Google Cloud SDKs
GoogleCloudPlatform/gcloud-python,Google Cloud SDKs
GoogleCloudPlatform/gcloud-ruby,Google Cloud SDKs
GoogleCloudPlatform/golang-samples,Google Cloud Docs
GoogleCloudPlatform/google-cloud-datastore,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-dotnet,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-eclipse,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-go,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-intellij,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-java,Google Cloud Platform
GoogleCloudPlatform/google-cloud-node,Google Cloud Platform
GoogleCloudPlatform/google-cloud-php,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-powershell,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-python,Google Cloud Platform
GoogleCloudPlatform/google-cloud-ruby,Google Cloud SDKs
GoogleCloudPlatform/google-cloud-visualstudio,Google Cloud SDKs
GoogleCloudPlatform/kubernetes,Kubernetes
GoogleCloudPlatform/kubernetes-workshops,Kubernetes
GoogleCloudPlatform/nodejs-docs-samples,Google Cloud Docs
GoogleCloudPlatform/php-docs-samples,Google Cloud Docs
GoogleCloudPlatform/ruby-docs-samples,Google Cloud Docs
HaliteChallenge/Halite,Halite
JSFoundation/TAC,JS Foundation
JSFoundation/cla-assistant,JS Foundation
JSFoundation/js.foundation,JS Foundation
JSFoundation/standards,JS Foundation
JanusGraph/janusgraph,JanusGraph
JuliaLang/julia,Julia
KhronosGroup/Vulkan-LoaderAndValidationLayers,Kronos Vulkan
KhronosGroup/glslang,Kronos GLSL
Kinetic/kinetic-c,Kinetic Open Storage
Kinetic/kinetic-cpp-client,Kinetic Open Storage
Kinetic/kinetic-go,Kinetic Open Storage
Kinetic/kinetic-java,Kinetic Open Storage
Kinetic/kinetic-js,Kinetic Open Storage
Kinetic/kinetic-protocol,Kinetic Open Storage
LinuxStandardBase/download-app,Linux Standard Base
LinuxStandardBase/lanana,Linux Standard Base
LinuxStandardBase/lsb,Linux Standard Base
Microsoft/AL,Dynamics NAV
Microsoft/AirSim,AirSim
Microsoft/ApplicationInsights-Home,Microsoft Application Insights
Microsoft/ApplicationInsights-JS,Microsoft Application Insights
Microsoft/ApplicationInsights-Java,Microsoft Application Insights
Microsoft/ApplicationInsights-SDK-Labs,Microsoft Application Insights
Microsoft/ApplicationInsights-aspnetcore,Microsoft Application Insights
Microsoft/ApplicationInsights-dotnet,dotnet
Microsoft/ApplicationInsights-dotnet-logging,Microsoft Application Insights
Microsoft/ApplicationInsights-dotnet-server,Microsoft Application Insights
Microsoft/ApplicationInsights-node.js,Microsoft Application Insights
Microsoft/AzureBot,Azure
Microsoft/AzureUsageAndBillingPortal,Azure
Microsoft/BashOnWindows,BashOnWindows
Microsoft/BotBuilder,Microsoft BotBuilder
Microsoft/BotBuilder-Location,Microsoft BotBuilder
Microsoft/BotBuilder-Samples,Microsoft BotBuilder
Microsoft/BotFramework-Emulator,Microsoft BotBuilder
Microsoft/BotFramework-WebChat,Microsoft BotBuilder
Microsoft/BusinessPlatformApps,Microsoft BusinessPlatformApps
Microsoft/CNTK,Microsoft Cognitive Toolkit
Microsoft/Chakra-Samples,Microsoft Chakra
Microsoft/ChakraCore,Microsoft Chakra
Microsoft/ChakraCore-wiki,Microsoft Chakra
Microsoft/CodeContracts,dotnet
Microsoft/Cognitive-Documentation,Microsoft Cognitive Toolkit
Microsoft/Cognitive-Face-Windows,Microsoft Cognitive Toolkit
Microsoft/CognitiveServices-Documentation,Microsoft Cognitive Toolkit
Microsoft/CommandLine-Documentation,Microsoft docs
Microsoft/DSCEA,PowerShell
Microsoft/DesktopBridgeToUWP-Samples,Microsoft docs
Microsoft/DirectX-Graphics-Samples,DirectX
Microsoft/DirectXShaderCompiler,DirectX
Microsoft/Docker-PowerShell,PowerShell
Microsoft/Docker.DotNet,dotnet
Microsoft/Dynamics-AX-Integration,Microsoft (other)
Microsoft/EMDocs,Microsoft docs
Microsoft/FFmpegInterop,Microsoft (other)
Microsoft/GSL,Microsoft GSL
Microsoft/GalaxyExplorer,Microsoft HoloToolkit
Microsoft/Git-Credential-Manager-for-Mac-and-Linux,Microsoft (other)
Microsoft/Git-Credential-Manager-for-Windows,Microsoft (other)
Microsoft/GraphEngine,Microsoft Graph Engine
Microsoft/HoloJS,Microsoft HoloToolkit
Microsoft/HoloLensCompanionKit,Microsoft HoloToolkit
Microsoft/HoloToolkit,Microsoft HoloToolkit
Microsoft/HoloToolkit-Unity,Microsoft HoloToolkit
Microsoft/IIS.Administration,Microsoft IIS
Microsoft/IntuneDocs,Microsoft Intune
Microsoft/LightGBM,Microsoft DMTK
Microsoft/MIEngine,VS Code
Microsoft/Microsoft.IO.RecyclableMemoryStream,dotnet
Microsoft/Mobius,Microsoft Mobius
Microsoft/ODBC-Specification,Microsoft ODBC
Microsoft/OMS-Agent-for-Linux,Microsoft OMS
Microsoft/Office-Online-Test-Tools-and-Documentation,Microsoft docs
Microsoft/PTVS,VS Code
Microsoft/PartsUnlimited,Microsoft docs
Microsoft/PartsUnlimitedMRP,Microsoft (other)
Microsoft/PowerBI-CSharp,Power BI
Microsoft/PowerBI-Cli,Power BI
Microsoft/PowerBI-JavaScript,Power BI
Microsoft/PowerBI-visuals,Power BI
Microsoft/PowerBI-visuals-docs,Power BI
Microsoft/PowerBI-visuals-tools,Power BI
Microsoft/PowerShell-DSC-for-Linux,DSC
Microsoft/Pyjion,Pyjion
Microsoft/RTVS,VS Code
Microsoft/ReportingServicesTools,SQL Server
Microsoft/SCCMdocs,Microsoft docs
Microsoft/SDN,SDN
Microsoft/TSJS-lib-generator,Microsoft (other)
Microsoft/TypeScript,TypeScript
Microsoft/TypeScript-Handbook,TypeScript
Microsoft/TypeScript-Sublime-Plugin,TypeScript
Microsoft/TypeScript-TmLanguage,TypeScript
Microsoft/UWPCommunityToolkit,Microsoft UWP
Microsoft/VSProjectSystem,VS Code
Microsoft/VSSDK-Extensibility-Samples,VS Code
Microsoft/Virtualization-Documentation,Microsoft Virtualization
Microsoft/WinAppDriver,VS Code
Microsoft/WinObjC,Microsoft Objective-C for Windows
Microsoft/Windows-driver-samples,Microsoft docs
Microsoft/Windows-universal-samples,Microsoft docs
Microsoft/WindowsDevicePortalWrapper,Microsoft UWP
Microsoft/WindowsProtocolTestSuites,Microsoft (other)
Microsoft/XamlBehaviors,Microsoft UWP
Microsoft/Yams,YAMS
Microsoft/ace,ACE
Microsoft/api-guidelines,Microsoft API
Microsoft/app-store-vsts-extension,VS Code
Microsoft/aspnet-api-versioning,dotnet
Microsoft/bond,Bond
Microsoft/caffe,Caffe
Microsoft/checkedc,Checked C
Microsoft/checkedc-clang,Checked C
Microsoft/checkedc-llvm-test-suite,Checked C
Microsoft/clrmd,VS Code
Microsoft/code-push,CodePush
Microsoft/cordova-plugin-code-push,CodePush
Microsoft/cordova-simulate,Microsoft (other)
Microsoft/cpprestsdk,VS Code
Microsoft/cppwinrt,VS Code
Microsoft/dotnet,dotnet
Microsoft/dotnet-apiport,dotnet
Microsoft/edge-diagnostics-adapter,Microsoft Edge
Microsoft/generator-docker,VS Code
Microsoft/ghcrawler,Microsoft (other)
Microsoft/go-winio,Microsoft (other)
Microsoft/google-play-vsts-extension,VS Code
Microsoft/hcsshim,Microsoft (other)
Microsoft/llvm,LLVM
Microsoft/maker.js,Maker.js
Microsoft/malmo,Malmö
Microsoft/mattercenter,Microsoft Office
Microsoft/mobile-center-sdk-react-native,React
Microsoft/msbuild,VS Code
Microsoft/msphpsql,SQL Server
Microsoft/mssql-docker,SQL Server
Microsoft/mssql-jdbc,SQL Server
Microsoft/mwt-ds,Microsoft Decision Service
Microsoft/nodejstools,VS Code
Microsoft/o365-moodle,Microsoft Office
Microsoft/omi,Open Management Infrastructure
Microsoft/peek,Azure
Microsoft/perfview,PerfView
Microsoft/pxt,Microsoft MakeCode
Microsoft/pxt-microbit,micro-bit
Microsoft/pxt-microbit-electron,micro-bit
Microsoft/react-native-code-push,CodePush
Microsoft/react-native-windows,Microsoft (other)
Microsoft/reactxp,ReactXP
Microsoft/sarif-sdk,dotnet
Microsoft/satcheljs,Satchel
Microsoft/sql-server-samples,SQL Server
Microsoft/team-explorer-everywhere,Microsoft (other)
Microsoft/testfx,VS Code
Microsoft/tfs-cli,VS Code
Microsoft/thrifty,Thrifty
Microsoft/tigertoolbox,SQL Server
Microsoft/tolerant-php-parser,Microsoft (other)
Microsoft/tslib,TypeScript
Microsoft/tslint-microsoft-contrib,TSLint
Microsoft/types-publisher,Microsoft (other)
Microsoft/vcpkg,VS Code
Microsoft/visualfsharp,Microsoft F#
Microsoft/visualfsharpdocs,Microsoft F#
Microsoft/visualstudio-docs,VS Code
Microsoft/vs-threading,VS Code
Microsoft/vscode,VS Code
Microsoft/vscode-chrome-debug-core,VS Code
Microsoft/vscode-cordova,VS Code
Microsoft/vscode-docker,VS Code
Microsoft/vscode-docs,VS Code
Microsoft/vscode-go,VS Code
Microsoft/vscode-mssql,VS Code
Microsoft/vscode-react-native,VS Code
Microsoft/vscode-sublime-keybindings,VS Code
Microsoft/vscode-tips-and-tricks,VS Code
Microsoft/vso-agent-tasks,VS Code
Microsoft/vss-web-extension-sdk,VS Code
Microsoft/vstest,VS Code
Microsoft/vsts-agent,VS Code
Microsoft/vsts-extension-build-release-tasks,VS Code
Microsoft/vsts-node-api,VS Code
Microsoft/vsts-rm-extensions,VS Code
Microsoft/vsts-task-lib,Microsoft (other)
Microsoft/vsts-tasks,VS Code
Microsoft/vsts-team-calendar,VS Code
Microsoft/vsts-vscode,VS Code
Microsoft/vswhere,VS Code
Microsoft/web-build-tools,VS Code
Microsoft/windows-dev-center-vsts-extension,VS Code
Microsoft/windows-driver-docs,Microsoft docs
Microsoft/windows-itpro-docs,Microsoft docs
Microsoft/winsdkfb,VS Code
Microsoft/xunit-performance,dotnet
MicrosoftDocs/visualstudio-docs,MicrosoftDocs
MicrosoftDocs/windows-uwp,MicrosoftDocs
MicrosoftDocs/windowsserverdocs,MicrosoftDocs
MicrosoftDocs/winrt-api,MicrosoftDocs
OAI/Gluecon-Workshop,Open API
OAI/OpenAPI-Specification,Open API
OAI/OpenAPI-Style-Guide,Open API
OpenMAMA/OpenMAMA,OpenMAMA
OpenMAMA/openmama.github.io,OpenMAMA
OpenStack-mobile/AFHorizontalDayPicker,OpenStack Horizon
OpenStack-mobile/HanekeSwift,OpenStack Swift
OpenStack-mobile/KFSwiftImageLoader,OpenStack Swift
OpenStack-mobile/OAuth2-Swift,OpenStack Swift
OpenStack-mobile/OpenStackID-Swift,OpenStack Swift
OpenStack-mobile/SwiftFoundation,OpenStack Swift
OpenStack-mobile/SwiftSpinner,OpenStack Swift
SNAS/website,SNAS.io
Samsung/TizenRT,Tizen
Shopify/Timber,Shopify Timber
Shopify/active_shipping,ActiveShipping
Shopify/js-buy-sdk,Shopify SDKs
Shopify/liquid,Liquid
Shopify/mobile-buy-sdk-android,Shopify SDKs
Shopify/mobile-buy-sdk-ios,Shopify SDKs
Shopify/pos-app-sdk-example,Shopify SDKs
Shopify/sarama,Shopify SDKs
Shopify/shipit-engine,Shopify Docs
Shopify/shopify_api,Shopify API
Shopify/shopify_app,Shopify App
Shopify/themekit,Theme Kit
Shopify/toxiproxy,Toxiproxy
SpartanRefactoring/Spartanizer,Spontanizer
airbnb/caravel,Superset
airbnb/enzyme,Enzyme
airbnb/lottie-android,Lottie
airbnb/react-dates,React
airbnb/react-native-maps,React
airbnb/superset,Superset
angular-fullstack/generator-angular-fullstack,Angular
angular-ui/bootstrap,Angular
angular-ui/ng-grid,Angular
angular-ui/ui-grid,Angular
angular-ui/ui-select,Angular
angular/angular,Angular
angular/angular-cli,Angular
angular/angular.io,Angular
angular/angular.js,Angular
angular/angularfire2,Angular
angular/material,Angular
angular/material2,Angular
angular/protractor,Protractor
angular/tsickle,Angular
apache-spark-on-k8s/ansible,Apache Spark
apache-spark-on-k8s/kubernetes-HDFS,Apache Spark
apache-spark-on-k8s/spark,Apache Spark
apache-spark/spark,Apache Spark
apache/ambari,Apache Ambari
apache/bahir-flink,Apache Flink
apache/beam,Apache Beam
apache/beam-site,Apache Beam
apache/camel,Apache Camel
apache/carbondata,Apache CarbonData
apache/carbondata-site,Apache CarbonData
apache/cassandra,Apache Cassandra
apache/cassandra-builds,Apache Cassandra
apache/cloudstack,Apache CloudStack
apache/cloudstack-cloudmonkey,Apache CloudStack
apache/cloudstack-docs,Apache CloudStack
apache/cloudstack-docs-admin,Apache CloudStack
apache/cloudstack-docs-install,Apache CloudStack
apache/cloudstack-docs-rn,Apache CloudStack
apache/cloudstack-www,Apache CloudStack
apache/couchdb-chttpd,Apache HTTP Server
apache/flink,Apache Flink
apache/flink-web,Apache Flink
apache/geode,Apache Geode
apache/geode-examples,Apache Geode
apache/geode-native,Apache Geode
apache/geode-site,Apache Geode
apache/hadoop,Apache Hadoop
apache/hbase,Apache HBase
apache/hive,Apache Hive
apache/httpd,Apache HTTP Server
apache/httpd-docs-build,Apache HTTP Server
apache/ignite,Apache Ignite
apache/incubator-airflow,Airflow
apache/incubator-beam,Apache Beam
apache/incubator-beam-site,Apache Beam
apache/incubator-carbondata,Apache CarbonData
apache/incubator-geode,Apache Geode
apache/incubator-hivemall,Apache Hive
apache/incubator-hivemall-site,Apache Hive
apache/incubator-trafodion,Apache Trafodion
apache/incubator-zeppelin,Apache Zeppelin
apache/jclouds,Apache CloudStack
apache/kafka,Apache Kafka
apache/kafka-site,Apache Kafka
apache/kylin,Apache Kylin
apache/libcloud,Apache CloudStack
apache/lucene-solr,Apache Lucene/Solr
apache/lucenenet,Apache Lucene/Solr
apache/mesos,Apache Mesos
apache/nifi,Apache NiFi
apache/nifi-maven,Apache NiFi
apache/nifi-minifi,Apache NiFi
apache/nifi-minifi-cpp,Apache NiFi
apache/nifi-site,Apache NiFi
apache/spark,Apache Spark
apache/spark-website,Apache Spark
apache/storm,Apache Storm
apache/thrift,Apache Thrift
apache/trafficserver,Apache Traffic Server
apache/trafficserver-qa,Apache Traffic Server
apache/trafodion,Apache Trafodion
apache/zeppelin,Apache Zeppelin
apacheignite/documentation,Apache Ignite
apacheignite/drools-ignite,Apache Ignite
apacheignite/yardstick-ignite,Apache Ignite
apacheignite/zeppelin-demo,Apache Ignite
aspnet/Docs,ASP.net Docs
automotive-grade-linux/docs-agl,AGL
aws/aws-iot-device-sdk-arduino-yun,AWS SDKs
aws/aws-iot-device-sdk-embedded-C,AWS SDKs
aws/aws-iot-device-sdk-java,AWS SDKs
aws/aws-iot-device-sdk-js,AWS SDKs
aws/aws-iot-device-sdk-python,AWS SDKs
aws/aws-sdk-android,AWS SDKs
aws/aws-sdk-cpp,AWS SDKs
aws/aws-sdk-go,AWS SDKs
aws/aws-sdk-ios,AWS SDKs
aws/aws-sdk-java,AWS SDKs
aws/aws-sdk-js,AWS SDKs
aws/aws-sdk-mobile-analytics-js,AWS SDKs
aws/aws-sdk-net,AWS SDKs
aws/aws-sdk-php,AWS SDKs
aws/aws-sdk-php-laravel,AWS SDKs
aws/aws-sdk-php-silex,AWS SDKs
aws/aws-sdk-php-symfony,AWS SDKs
aws/aws-sdk-php-zf2,AWS SDKs
aws/aws-sdk-ruby,AWS SDKs
aws/aws-sdk-ruby-record,AWS SDKs
brunopulis/awesome-a11y,A11y
callemall/material-ui,Material-UI
cip-project/board-at-desk-single-dev,Civil Infrastructure Platform
cip-project/cip-kernel-sec,Civil Infrastructure Platform
cip-project/cip-kernelci,Civil Infrastructure Platform
cip-project/kernelci-backend,Civil Infrastructure Platform
cip-project/kernelci-frontend,Civil Infrastructure Platform
cip-project/linux-cip,Civil Infrastructure Platform
cncf/ambassadors,CNCF
cncf/artwork,CNCF
cncf/cla,CNCF
cncf/cluster,CNCF
cncf/cross-cloud,CNCF
cncf/curriculum,CNCF
cncf/demo,CNCF
cncf/draft-wg-serverless,CNCF
cncf/foundation,CNCF
cncf/gha2db,CNCF
cncf/gha2pg,CNCF
cncf/gitdm,CNCF
cncf/k8s-conformance,CNCF
cncf/landscape,CNCF
cncf/presentations,CNCF
cncf/soc,CNCF
cncf/toc,CNCF
cncf/velocity,CNCF
cncf/wg-ci,CNCF
cncf/wg-networking,CNCF
cncf/wg-serverless,CNCF
cncf/wg-storage,CNCF
cocos2d/cocos2d-js,Cocos2d-js
cocos2d/cocos2d-x,Cocos2d-x
codeaurora-unofficial/device-qcom-sepolicy,Code Aurora
codeaurora-unofficial/kernel-msm,Code Aurora
codeaurora-unofficial/kernel-msm-3.10,Code Aurora
codeaurora-unofficial/linux-msm,Code Aurora
codeaurora-unofficial/packages-providers-ContactsProvider,Code Aurora
codeaurora-unofficial/packages-providers-TelephonyProvider,Code Aurora
codeaurora-unofficial/packages-services-Mms,Code Aurora
codeaurora-unofficial/packages-services-Telecomm,Code Aurora
codeaurora-unofficial/packages-services-Telephony,Code Aurora
codeaurora-unofficial/platform-art,Code Aurora
codeaurora-unofficial/platform-bionic,Code Aurora
codeaurora-unofficial/platform-build,Code Aurora
codeaurora-unofficial/platform-development,Code Aurora
codeaurora-unofficial/platform-external-bluetooth-bluedroid,Code Aurora
codeaurora-unofficial/platform-external-dhcpcd,Code Aurora
codeaurora-unofficial/platform-external-e2fsprogs,Code Aurora
codeaurora-unofficial/platform-external-f2fs-tools,Code Aurora
codeaurora-unofficial/platform-external-flac,Code Aurora
codeaurora-unofficial/platform-external-icu,Code Aurora
codeaurora-unofficial/platform-external-libnfc-nci,Code Aurora
codeaurora-unofficial/platform-external-libpng,Code Aurora
codeaurora-unofficial/platform-external-libselinux,Code Aurora
codeaurora-unofficial/platform-external-libxml2,Code Aurora
codeaurora-unofficial/platform-external-openssl,Code Aurora
codeaurora-unofficial/platform-external-sepolicy,Code Aurora
codeaurora-unofficial/platform-external-skia,Code Aurora
codeaurora-unofficial/platform-external-tinyalsa,Code Aurora
codeaurora-unofficial/platform-external-tinycompress,Code Aurora
codeaurora-unofficial/platform-external-wpa_supplicant_8,Code Aurora
codeaurora-unofficial/platform-frameworks-av,Code Aurora
codeaurora-unofficial/platform-frameworks-base,Code Aurora
codeaurora-unofficial/platform-frameworks-ex,Code Aurora
codeaurora-unofficial/platform-frameworks-native,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-bluetooth,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-chips,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-net-ims,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-net-wifi,Code Aurora
codeaurora-unofficial/platform-frameworks-opt-telephony,Code Aurora
codeaurora-unofficial/platform-frameworks-wilhelm,Code Aurora
codeaurora-unofficial/platform-hardware-broadcom-libbt,Code Aurora
codeaurora-unofficial/platform-hardware-intel-audio_media,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libmix,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libstagefrighthw,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libva,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-libwsbm,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-omx-components,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-utils,Code Aurora
codeaurora-unofficial/platform-hardware-intel-common-wrs_omxil_core,Code Aurora
codeaurora-unofficial/platform-hardware-intel-img-hwcomposer,Code Aurora
codeaurora-unofficial/platform-hardware-intel-img-psb_headers,Code Aurora
codeaurora-unofficial/platform-hardware-intel-img-psb_video,Code Aurora
codeaurora-unofficial/platform-hardware-libhardware,Code Aurora
codeaurora-unofficial/platform-hardware-libhardware_legacy,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-audio,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-bt,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-display,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-gps,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-keymaster,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-media,Code Aurora
codeaurora-unofficial/platform-hardware-qcom-wlan,Code Aurora
codeaurora-unofficial/platform-hardware-ril,Code Aurora
codeaurora-unofficial/platform-libcore,Code Aurora
codeaurora-unofficial/platform-libnativehelper,Code Aurora
codeaurora-unofficial/platform-packages-apps-BasicSmsReceiver,Code Aurora
codeaurora-unofficial/platform-packages-apps-Bluetooth,Code Aurora
codeaurora-unofficial/platform-packages-apps-Browser,Code Aurora
codeaurora-unofficial/platform-packages-apps-Calculator,Code Aurora
codeaurora-unofficial/platform-packages-apps-Calendar,Code Aurora
codeaurora-unofficial/platform-packages-apps-Camera2,Code Aurora
codeaurora-unofficial/platform-packages-apps-CellBroadcastReceiver,Code Aurora
codeaurora-unofficial/platform-packages-apps-CertInstaller,Code Aurora
codeaurora-unofficial/platform-packages-apps-Contacts,Code Aurora
codeaurora-unofficial/platform-packages-apps-ContactsCommon,Code Aurora
codeaurora-unofficial/platform-packages-apps-DeskClock,Code Aurora
codeaurora-unofficial/platform-packages-apps-Dialer,Code Aurora
codeaurora-unofficial/platform-packages-apps-Email,Code Aurora
codeaurora-unofficial/platform-packages-apps-Gallery2,Code Aurora
codeaurora-unofficial/platform-packages-apps-HTMLViewer,Code Aurora
codeaurora-unofficial/platform-packages-apps-InCallUI,Code Aurora
codeaurora-unofficial/platform-packages-apps-KeyChain,Code Aurora
codeaurora-unofficial/platform-packages-apps-Launcher3,Code Aurora
codeaurora-unofficial/platform-packages-apps-ManagedProvisioning,Code Aurora
codeaurora-unofficial/platform-packages-apps-Mms,Code Aurora
codeaurora-unofficial/platform-packages-apps-MusicFX,Code Aurora
codeaurora-unofficial/platform-packages-apps-Nfc,Code Aurora
codeaurora-unofficial/platform-packages-apps-OneTimeInitializer,Code Aurora
codeaurora-unofficial/platform-packages-apps-PackageInstaller,Code Aurora
codeaurora-unofficial/platform-packages-apps-PhoneCommon,Code Aurora
codeaurora-unofficial/platform-packages-apps-Provision,Code Aurora
codeaurora-unofficial/platform-packages-apps-Settings,Code Aurora
codeaurora-unofficial/platform-packages-apps-SoundRecorder,Code Aurora
