repo,project
codeaurora-unofficial/platform-packages-apps-SpareParts,Code Aurora
codeaurora-unofficial/platform-packages-apps-Stk,Code Aurora
codeaurora-unofficial/platform-packages-apps-Tag,Code Aurora
codeaurora-unofficial/platform-packages-apps-Terminal,Code Aurora
codeaurora-unofficial/platform-packages-apps-TvSettings,Code Aurora
codeaurora-unofficial/platform-packages-apps-UnifiedEmail,Code Aurora
codeaurora-unofficial/platform-packages-inputmethods-LatinIME,Code Aurora
codeaurora-unofficial/platform-system-core,Code Aurora
codeaurora-unofficial/platform-system-extras,Code Aurora
codeaurora-unofficial/platform-system-media,Code Aurora
codeaurora-unofficial/platform-system-netd,Code Aurora
codeaurora-unofficial/platform-system-vold,Code Aurora
codeaurora-unofficial/platform-vendor-qcom-opensource-wlan-fw-api,Code Aurora
codeaurora-unofficial/platform-vendor-qcom-opensource-wlan-qca-wifi-host-cmn,Code Aurora
codeaurora-unofficial/platform-vendor-qcom-opensource-wlan-qcacld-3.0,Code Aurora
coredns/coredns-grpc,CoreDNS
coredns/grpc,CoreDNS
coreinfrastructure/best-practices-badge,Core Infrastructure
coreinfrastructure/cii-best-practices-badge,Core Infrastructure
coreos/coreos-kubernetes,CoreOS
coreos/kube-prometheus,CoreOS
coreos/kubernetes,CoreOS
coreos/prometheus,CoreOS
coreos/prometheus-operator,CoreOS
coreos/rkt,rkt
docker/compose,Docker
docker/containerd,containerd
docker/distribution,Docker
docker/docker,Docker
docker/docker-birthday-3,Docker
docker/docker-py,Docker
docker/docker.github.io,Docker
docker/labs,Docker
docker/libnetwork,Docker
docker/notary,Notary
docker/swarm,Docker
docker/swarmkit,Docker
dotnet/cli,dotnet
dotnet/eShopOnContainers,Microsoft eShopOnContainers
dotnet/orleans,Microsoft Orleans
dotnet/roslyn,VS Code
dotnet/roslyn-project-system,VS Code
duckduckgo/zeroclickinfo-fathead,DuckDuckHack
duckduckgo/zeroclickinfo-goodies,DuckDuckHack
eclipse/che,Eclipse Che
eclipse/che-dockerfiles,Eclipse Che
eclipse/che-docs,Eclipse Che
eclipse/eclipse-collections,Eclipse Collections Project
eclipse/hawkbit,Eclipse hawkBit
eclipse/jetty.project,Eclipse Jetty
eclipse/kura,Eclipse Kura
eclipse/mosquitto,Eclipse Mosquitto
eclipse/omr,Eclipse OMR
eclipse/paho.mqtt.c,Eclipse Paho
eclipse/paho.mqtt.java,Eclipse Paho
eclipse/paho.mqtt.python,Eclipse Paho
eclipse/rdf4j,RDF4J
eclipse/vorto,Vorto Project
eclipse/xtext,Eclipse Xtext
eclipse/xtext-core,Eclipse Xtext
eclipse/xtext-eclipse,Eclipse Xtext
eclipse/xtext-extras,Eclipse Xtext
eclipse/xtext-lib,Eclipse Xtext
eclipse/xtext-xtend,Eclipse Xtext
envoyproxy/artwork,Envoy
envoyproxy/data-plane-api,Envoy
envoyproxy/envoy,Envoy
envoyproxy/envoy-filter-example,Envoy
envoyproxy/envoyproxy.github.io,Envoy
fa16scmorg/FA16SCM,Assignment Simulaton Repository
facebook/AsyncDisplayKit,Texture
facebook/osquery,osquery
facebook/react,React
facebook/react-native,React
facebook/reason,REASON
facebook/rocksdb,RocksDB
facebookincubator/create-react-app,React
fdio-stack/felix,FD.io
fdio-stack/netplugin,FD.io
fossology/fossology,FOSSology
fpco/stackage,Hackage
github/VisualStudio,GitHub Extension for Visual Studio
github/backup-utils,GitHub Enterprise Backup Utilities
github/choosealicense.com,Choosealicense.com
github/git-lfs,Git Large File Storage
github/government.github.com,GitHub and Government
github/hub,GitHub
github/hubot,Hubot
github/linguist,Linguist
github/markup,GitHub Markup
github/open-source-guide,Open Source Guides
github/open-source-survey,Open Source Survey
github/training-kit,GitHub Training Kit
gitlab/GitLab,GitLab
gitlabhq/gitlabhq,GitLab
golang/go,Go
google/EarlGrey,EarlGrey
google/ExoPlayer,Google ExoPlayer
google/WebFundamentals,Google WebFundamentals
google/benchmark,benchmark
google/blockly,Blockly
google/cadvisor,cAdvisor
google/capirca,Capirca
google/certificate-transparency,certificate-transparency
google/closure-compiler,Google Closure Compiler
google/closure-library,Closure Library
google/dagger,Dagger 2
google/earthenterprise,Google Earth Enterprise
google/eddystone,Eddystone
google/error-prone,Error Prone
google/flatbuffers,Google FlatBuffers
google/flexbox-layout,FlexboxLayout
google/fonts,Google Font Files
google/gapid,Google Graphics API Debugger
google/ggrc-core,GGRC
google/go-github,Go
google/google-api-ruby-client,Google API
google/gopacket,Go
google/grumpy,Grumpy
google/gson,google-gson
google/guava,Guava
google/guetzli,Google Perceptual JPEG encoder
google/martian,Martian Proxy
google/material-design-lite,Google Material Design Components
google/openhtf,OpenHTF
google/or-tools,Operations Research Tools
google/oss-fuzz,Google OSS-Fuzz
google/paco,PACO
google/personfinder,Person Finder
google/physical-web,The Physical Web
google/protobuf,Google Protocol Buffers
google/python-fire,Google Python Fire
google/sagetv,SageTV
google/seq2seq,Google seq2seq
google/shaka-player,Shaka Player
google/styleguide,Google Style Guides
google/tie,Google TIE
google/trillian,Trillian
google/xi-editor,Google Xi Editor
google/yapf,YAPF
googleapis/toolkit,Google API
googlei18n/libphonenumber,Google i18n
grpc-ecosystem/grpc-opentracing,gRPC
hacktoberfest17/programming,hacktoberfest17
hashicorp/consul,Consul
hashicorp/nomad,Nomad
hashicorp/terraform,Terraform
hashicorp/vault,Vault
infernojs/inferno,Inferno
iotivity/ci-management,IoTivity
iotivity/iotivity,IoTivity
iotivity/iotivity-alljoyn-bridge,IoTivity
iotivity/iotivity-constrained,IoTivity
iotivity/iotivity-node,IoTivity
iotivity/iotivity-upnp-bridge,IoTivity
iotivity/otivity-xmpp,IoTivity
iovisor/bcc,IO Visor
iovisor/bpf-docs,IO Visor
iovisor/gobpf,IO Visor
iovisor/hoverui,IO Visor
iovisor/iomodules,IO Visor
iovisor/iovisor-ovn,IO Visor
iovisor/libiov,IO Visor
iovisor/ply,IO Visor
iovisor/ubpf,IO Visor
iovisor/xdp-vagrant,IO Visor
jaegertracing/jaeger-kubernetes,Jaeger
jaegertracing/jaeger-openshift,Jaeger
jaegertracing/test-repo-move,Jaeger
joeythesaint/cgl-specification,Carrier Grade Linux
kubernetes-incubator/bootkube,Kubernetes
kubernetes-incubator/kargo,Kubernetes
kubernetes-incubator/kube-aws,Kubernetes
kubernetes-incubator/service-catalog,Kubernetes
kubernetes/charts,Kubernetes
kubernetes/community,Kubernetes
kubernetes/contrib,Kubernetes
kubernetes/dashboard,Kubernetes
kubernetes/heapster,Kubernetes
kubernetes/helm,Kubernetes
kubernetes/ingress,Kubernetes
kubernetes/kops,Kubernetes
kubernetes/kubernetes,Kubernetes
kubernetes/kubernetes.github.io,Kubernetes
kubernetes/minikube,Kubernetes
kubernetes/test-infra,Kubernetes
mamedev/mame,MAME
mozilla/123done,Firefox
mozilla/ADBFuzz,Firefox
mozilla/Fira,Firefox
mozilla/Firefox-Shield,Firefox
mozilla/Firefox-UI-Heatmap,Firefox
mozilla/FirefoxAcademicCenter,Firefox
mozilla/Marketplace.PHP,Firefox
mozilla/PyFxA,Firefox
mozilla/Twitter-Collage,Firefox
mozilla/about-home-piano-snippet,Firefox
mozilla/activate.mozilla.community,Activity Campaign site
mozilla/activity-stream,Firefox
mozilla/adbhelper,Firefox
mozilla/addon-builder-helper,Firefox
mozilla/addons-frontend,Addons-Server
mozilla/addons-linter,Firefox
mozilla/addons-server,Addons-Server
mozilla/advocacy.mozilla.org,advocacy.mozilla.org
mozilla/all-aboard,Firefox
mozilla/all-aboard-remote,Firefox
mozilla/areweslimyet-benchtester,Firefox
mozilla/authorized,Firefox
mozilla/bedrock,bedrock
mozilla/blok,Firefox
mozilla/blushproof,Firefox
mozilla/brackets,Brackets
mozilla/browserid-local-verify,Firefox
mozilla/browserid-verifier,Firefox
mozilla/browserid_addon,Firefox
mozilla/commbadge,Firefox
mozilla/commonplace,Firefox
mozilla/copyright,Mozilla Copyright
mozilla/css-grid-inspector,Firefox
mozilla/devtools-perf-game,Firefox
mozilla/devtools-reqs,Firefox
mozilla/discoplace,Firefox
mozilla/donate.mozilla.org,Mozilla donation forms
mozilla/dxr,DXR
mozilla/e10s_analyses,Firefox
mozilla/ember-cli-fxos,Firefox
mozilla/example-addon-repo,Firefox
mozilla/feedthefox,Firefox
mozilla/fennec-distribution-sample,Firefox
mozilla/fennec-search,Firefox
mozilla/ff-tool,Firefox
mozilla/firefox-app-validator-central,Firefox
mozilla/firefox-app-validator-icons,Firefox
mozilla/firefox-app-validator-manifest,Firefox
mozilla/firefox-code-quality,Firefox
mozilla/firefox-data-docs,Firefox
mozilla/firefox-flicks,Firefox
mozilla/firefox-for-android-addons,Firefox
mozilla/firefox-hardware-report,Firefox
mozilla/firefox-ios,Firefox
mozilla/firefox-roku,Firefox
mozilla/firefox-sync-appengine,Firefox
mozilla/firefox-test-engineering,Firefox
mozilla/firefox-themes,Firefox
mozilla/firefox-ui-tests,Firefox
mozilla/firefox10.org,Firefox
mozilla/firefoxmarket,Firefox
mozilla/firefoxos-quick-start,Firefox
mozilla/fireplace,Firefox
mozilla/fx36start,Firefox
mozilla/fxa,Firefox
mozilla/fxa-activity-metrics,Firefox
mozilla/fxa-auth-db-mysql,Firefox
mozilla/fxa-auth-db-server,Firefox
mozilla/fxa-auth-mailer,Firefox
mozilla/fxa-auth-server,Firefox
mozilla/fxa-basket-proxy,Firefox
mozilla/fxa-checkbox,Firefox
mozilla/fxa-content-experiments,Firefox
mozilla/fxa-content-server,Firefox
mozilla/fxa-content-server-l10n,Firefox
mozilla/fxa-customs-server,Firefox
mozilla/fxa-dev,Firefox
mozilla/fxa-features,Firefox
mozilla/fxa-geodb,Firefox
mozilla/fxa-js-client,Firefox
mozilla/fxa-jwtool,Firefox
mozilla/fxa-local-dev,Firefox
mozilla/fxa-notification-server,Firefox
mozilla/fxa-oauth-client,Firefox
mozilla/fxa-oauth-console,Firefox
mozilla/fxa-oauth-server,Firefox
mozilla/fxa-profile-server,Firefox
mozilla/fxa-python-client,Firefox
mozilla/fxa-relier-client,Firefox
mozilla/fxa-webrtc-idp,Firefox
mozilla/fxemoji,Firefox
mozilla/fxpay,Firefox
mozilla/fxtest-dashboard,Firefox
mozilla/gaia-custom-elements,Firefox
mozilla/gcli,Firefox
mozilla/geckodriver,Rust
mozilla/get-synced,Firefox
mozilla/hapi-fxa-oauth,Firefox
mozilla/hungry-js,Firefox
mozilla/inneractive,Firefox
mozilla/input-lib,Firefox
mozilla/input.mozilla.org,Firefox
mozilla/interest-dashboard,Firefox
mozilla/itisatrap,Firefox
mozilla/kanbugger,Firefox
mozilla/kuma,Kuma
mozilla/kumascript,Kuma
mozilla/libwebmidi,Rust
mozilla/loci,Firefox
mozilla/loop,Firefox
mozilla/loop-client-l10n,Firefox
mozilla/luciddream,Firefox
mozilla/marketplace-api-mock,Firefox
mozilla/marketplace-constants,Firefox
mozilla/marketplace-content-tools,Firefox
mozilla/marketplace-core-css,Firefox
mozilla/marketplace-core-modules,Firefox
mozilla/marketplace-docs,Firefox
mozilla/marketplace-elements,Firefox
mozilla/marketplace-frontend-docs,Firefox
mozilla/marketplace-gulp,Firefox
mozilla/marketplace-jquery,Firefox
mozilla/marketplace-operator-dashboard,Firefox
mozilla/marketplace-stats,Firefox
mozilla/marketplace-template,Firefox
mozilla/marketplace-tests-gaia,Firefox
mozilla/marketpulse,Firefox
mozilla/master-firefoxos-l10n,Firefox
mozilla/masterfirefoxos,Firefox
mozilla/memchaser,Firefox
mozilla/micro-email-validator,Firefox
mozilla/mig,Mozilla InvestiGator
mozilla/missioncontrol,Firefox
mozilla/mortar-devtools,Firefox
mozilla/moz-cheddar,Rust
mozilla/moz-corsica,Corsica
mozilla/moz-dev-contrib,Firefox
mozilla/moz-skia,Firefox
mozilla/mozcommitbuilder,Firefox
mozilla/mozdownload,Firefox
mozilla/mozmill-automation,Firefox
mozilla/mozmill-environment,Firefox
mozilla/mp4parse-rust,Rust
mozilla/mrburns,Firefox
mozilla/nocturnal,Firefox
mozilla/node-firefox,Firefox
mozilla/node-firefox-build-tools,Firefox
mozilla/node-firefox-cli,Firefox
mozilla/node-firefox-connect,Firefox
mozilla/node-firefox-console,Firefox
mozilla/node-firefox-examples-gulp,Firefox
mozilla/node-firefox-examples-install-packaged,Firefox
mozilla/node-firefox-find-app,Firefox
mozilla/node-firefox-find-devices,Firefox
mozilla/node-firefox-find-ports,Firefox
mozilla/node-firefox-find-simulators,Firefox
mozilla/node-firefox-find-wifi-devices,Firefox
mozilla/node-firefox-forward-ports,Firefox
mozilla/node-firefox-install-app,Firefox
mozilla/node-firefox-launch-app,Firefox
mozilla/node-firefox-marketplace,Firefox
mozilla/node-firefox-reload-css,Firefox
mozilla/node-firefox-start-simulator,Firefox
mozilla/node-firefox-uninstall-app,Firefox
mozilla/normandy,Firefox
mozilla/normandy-addon,Firefox
mozilla/nunjucks,Nunjucks
mozilla/onboard,Firefox
mozilla/onyx,Firefox
mozilla/originOnly,Firefox
mozilla/pdf.js,PDF.js
mozilla/people,Firefox
mozilla/peptest,Firefox
mozilla/personas,Firefox
mozilla/personas-plus,Firefox
mozilla/positron,Positron
mozilla/pow-wow,Firefox
mozilla/pretty-fast,Firefox
mozilla/privacy-prefs,Firefox
mozilla/probe-scraper,Firefox
mozilla/prospector,Firefox
mozilla/pulse,Firefox
mozilla/qac,Firefox
mozilla/r2d2b2g,Firefox
mozilla/releasehealth,Firefox
mozilla/releasehealth-bot,Firefox
mozilla/relman-auto-nag,Firefox
mozilla/relnotes,Firefox
mozilla/reviewbot,Firefox
mozilla/rocketfuel,Firefox
mozilla/rr,Record and Replay Framework
mozilla/rust-tooltool,Rust
mozilla/science.mozilla.org,science.mozilla.org
mozilla/server-share,Firefox
mozilla/shield-study-privacy,Firefox
mozilla/sign-addon,Firefox
mozilla/snowl,Firefox
mozilla/socialapi-dev,Firefox
mozilla/spark,Firefox
mozilla/spidernode,SpiderNode
mozilla/splice,Firefox
mozilla/telemetry-js-node,Firefox
mozilla/testpilot,Firefox
mozilla/testpilot-analysis,Firefox
mozilla/testpilot-containers,Firefox
mozilla/testpilotweb,Firefox
mozilla/thimble.mozilla.org,Thimble
mozilla/tls-canary,Firefox
mozilla/tofino,Project Tofino
mozilla/transonic,Firefox
mozilla/triage-report,Firefox
mozilla/valence,Firefox
mozilla/video_codec_module,Firefox
mozilla/webapi-examples,Firefox
mozilla/webcompat-addon,Firefox
mozilla/webdriver-rust,Rust
mozilla/webifyme,Firefox
mozilla/webmaker-app-cordova,Firefox
mozilla/webmaker-ffos,Firefox
mozilla/yogafire,Firefox
mozilla/zamboni,Firefox
mozilla/zippy,Firefox
obrienlabs/onap-root,Open Network Automation Platform
ocaml/opam-repository,OPAM
odpi/ambari,ODPi
odpi/bigtop,ODPi
odpi/security-guide,ODPi
odpi/self-certification-reports,ODPi
odpi/sig-reports,ODPi
odpi/specs,ODPi
open-switch/,OpenSwitch
open-switch/SAI,OpenSwitch
open-switch/flx-docs,OpenSwitch
open-switch/infra_commit-validation,OpenSwitch
open-switch/infra_jeepyb,OpenSwitch
open-switch/infra_project-config,OpenSwitch
open-switch/infra_system-config,OpenSwitch
open-switch/infra_website,OpenSwitch
open-switch/ops,OpenSwitch
open-switch/ops-aaa-utils,OpenSwitch
open-switch/ops-ansible,OpenSwitch
open-switch/ops-arpmgrd,OpenSwitch
open-switch/ops-build,OpenSwitch
open-switch/ops-cfgd,OpenSwitch
open-switch/ops-checkmk-agent,OpenSwitch
open-switch/ops-classifierd,OpenSwitch
open-switch/ops-cli,OpenSwitch
open-switch/ops-docs,OpenSwitch
open-switch/ops-fand,OpenSwitch
open-switch/ops-hw-config,OpenSwitch
open-switch/ops-intfd,OpenSwitch
open-switch/ops-ipapps,OpenSwitch
open-switch/ops-l2macd,OpenSwitch
open-switch/ops-lacpd,OpenSwitch
open-switch/ops-mgmt-intf,OpenSwitch
open-switch/ops-ntpd,OpenSwitch
open-switch/ops-openbfdd,OpenSwitch
open-switch/ops-openvswitch,OpenSwitch
open-switch/ops-portd,OpenSwitch
open-switch/ops-powerd,OpenSwitch
open-switch/ops-quagga,OpenSwitch
open-switch/ops-rbac,OpenSwitch
open-switch/ops-restd,OpenSwitch
open-switch/ops-snmpd,OpenSwitch
open-switch/ops-stpd,OpenSwitch
open-switch/ops-supportability,OpenSwitch
open-switch/ops-switchd,OpenSwitch
open-switch/ops-switchd-container-plugin,OpenSwitch
open-switch/ops-switchd-fpa-plugin,OpenSwitch
open-switch/ops-switchd-opennsl-plugin,OpenSwitch
open-switch/ops-switchd-p4switch-plugin,OpenSwitch
open-switch/ops-switchd-sai-plugin,OpenSwitch
open-switch/ops-switchd-xpliant-plugin,OpenSwitch
open-switch/ops-sysd,OpenSwitch
open-switch/ops-utils,OpenSwitch
open-switch/ops-vsi,OpenSwitch
open-switch/ops-webui,OpenSwitch
open-switch/opx-base-model,OpenSwitch
open-switch/opx-build,OpenSwitch
open-switch/opx-common-utils,OpenSwitch
open-switch/opx-core,OpenSwitch
open-switch/opx-cps,OpenSwitch
open-switch/opx-db-sql,OpenSwitch
open-switch/opx-docs,OpenSwitch
open-switch/opx-flxSdk,OpenSwitch
open-switch/opx-flxasicdstub,OpenSwitch
open-switch/opx-flxconfig,OpenSwitch
open-switch/opx-flxcps,OpenSwitch
open-switch/opx-flxinfra,OpenSwitch
open-switch/opx-flxl2,OpenSwitch
open-switch/opx-flxl3,OpenSwitch
open-switch/opx-flxmodels,OpenSwitch
open-switch/opx-flxreltools,OpenSwitch
open-switch/opx-flxutils,OpenSwitch
open-switch/opx-logging,OpenSwitch
open-switch/opx-manifest,OpenSwitch
open-switch/opx-mlnx-sdi-sys,OpenSwitch
open-switch/opx-nas-acl,OpenSwitch
open-switch/opx-nas-common,OpenSwitch
open-switch/opx-nas-daemon,OpenSwitch
open-switch/opx-nas-interface,OpenSwitch
open-switch/opx-nas-l2,OpenSwitch
open-switch/opx-nas-l3,OpenSwitch
open-switch/opx-nas-linux,OpenSwitch
open-switch/opx-nas-ndi,OpenSwitch
open-switch/opx-nas-ndi-api,OpenSwitch
open-switch/opx-nas-ndi-sai-1.0,OpenSwitch
open-switch/opx-nas-platform-s6000,OpenSwitch
open-switch/opx-nas-platform-vm,OpenSwitch
open-switch/opx-nas-qos,OpenSwitch
open-switch/opx-onie-installer,OpenSwitch
open-switch/opx-pas,OpenSwitch
open-switch/opx-platform-config,OpenSwitch
open-switch/opx-quagga,OpenSwitch
open-switch/opx-sai-api,OpenSwitch
open-switch/opx-sai-common,OpenSwitch
open-switch/opx-sai-common-utils,OpenSwitch
open-switch/opx-sai-vm,OpenSwitch
open-switch/opx-sdi-api,OpenSwitch
open-switch/opx-sdi-device-drivers,OpenSwitch
open-switch/opx-sdi-framework,OpenSwitch
open-switch/opx-sdi-sys,OpenSwitch
open-switch/opx-sdi-sys-vm,OpenSwitch
open-switch/opx-test,OpenSwitch
open-switch/opx-tmpctl,OpenSwitch
open-switch/ovs,OpenSwitch
openSUSE/kernel,openSUSE Kernel
openSUSE/kernel-source,openSUSE Kernel source
openSUSE/open-build-service,Open Build Service
openSUSE/salt,openSUSE SaltStack
openSUSE/zypper,Zypper
opencontainer/go-selinux+runc.io,Open Container
opencontainers/certification,Open Container
opencontainers/g-selinux,Open Container
opencontainers/go-digest,Open Container
opencontainers/go-selinux,Open Container
opencontainers/image-spec,Open Container
opencontainers/image-tools,Open Container
opencontainers/ocitools,Open Container
opencontainers/project-template,Open Container
opencontainers/runc,Open Container
opencontainers/runc.io,Open Container
opencontainers/runtime-spec,Open Container
opencontainers/runtime-tools,Open Container
opencontainers/selinux,Open Container
opencontainers/tob,Open Container
opencontainers/unc.io,Open Container
opencontainers/web,Open Container
opencord/cord,CORD
opendaylight/aaa,OpenDaylight
opendaylight/alto,OpenDaylight
opendaylight/atrium,OpenDaylight
opendaylight/bgpcep,OpenDaylight
opendaylight/bier,OpenDaylight
opendaylight/capwap,OpenDaylight
opendaylight/cardinal,OpenDaylight
opendaylight/centinel,OpenDaylight
opendaylight/coe,OpenDaylight
opendaylight/controller,OpenDaylight
opendaylight/coretutorials,OpenDaylight
opendaylight/daexim,OpenDaylight
opendaylight/didm,OpenDaylight
opendaylight/dlux,OpenDaylight
opendaylight/dluxapps,OpenDaylight
opendaylight/docs,OpenDaylight
opendaylight/eman,OpenDaylight
opendaylight/faas,OpenDaylight
opendaylight/federation,OpenDaylight
opendaylight/fpc,OpenDaylight
opendaylight/genius,OpenDaylight
opendaylight/groupbasedpolicy,OpenDaylight
opendaylight/honeycomb-vbd,OpenDaylight
opendaylight/infrautils,OpenDaylight
opendaylight/integration-distribution,OpenDaylight
opendaylight/integration-packaging,OpenDaylight
opendaylight/integration-packaging-ansible-opendaylight,OpenDaylight
opendaylight/integration-packaging-puppet-opendaylight,OpenDaylight
opendaylight/integration-test,OpenDaylight
opendaylight/iotdm,OpenDaylight
opendaylight/jsonrpc,OpenDaylight
opendaylight/l2switch,OpenDaylight
opendaylight/lacp,OpenDaylight
opendaylight/lispflowmapping,OpenDaylight
opendaylight/mdsal,OpenDaylight
opendaylight/messaging4transport,OpenDaylight
opendaylight/natapp,OpenDaylight
opendaylight/nemo,OpenDaylight
opendaylight/netconf,OpenDaylight
opendaylight/netide,OpenDaylight
opendaylight/netvirt,OpenDaylight
opendaylight/neutron,OpenDaylight
opendaylight/next,OpenDaylight
opendaylight/nic,OpenDaylight
opendaylight/ocpplugin,OpenDaylight
opendaylight/odlparent,OpenDaylight
opendaylight/of-config,OpenDaylight
opendaylight/openflowjava,OpenDaylight
opendaylight/openflowplugin,OpenDaylight
opendaylight/opflex,OpenDaylight
opendaylight/ovsdb,OpenDaylight
opendaylight/p4plugin,OpenDaylight
opendaylight/packetcable,OpenDaylight
opendaylight/releng-autorelease,OpenDaylight
opendaylight/releng-builder,OpenDaylight
opendaylight/sdninterfaceapp,OpenDaylight
opendaylight/sfc,OpenDaylight
opendaylight/snbi,OpenDaylight
opendaylight/snmp,OpenDaylight
opendaylight/snmp4sdn,OpenDaylight
opendaylight/spectrometer,OpenDaylight
opendaylight/sxp,OpenDaylight
opendaylight/systemmetrics,OpenDaylight
opendaylight/tcpmd5,OpenDaylight
opendaylight/topoprocessing,OpenDaylight
opendaylight/transportpce,OpenDaylight
opendaylight/tsdr,OpenDaylight
opendaylight/ttp,OpenDaylight
opendaylight/unimgr,OpenDaylight
opendaylight/usc,OpenDaylight
opendaylight/usecplugin,OpenDaylight
opendaylight/vpnservice,OpenDaylight
opendaylight/vtn,OpenDaylight
opendaylight/yang-push,OpenDaylight
opendaylight/yangide,OpenDaylight
opendaylight/yangtools,OpenDaylight
openhpc/ohpc,OpenHPC
openhpc/submissions,OpenHPC
openmainframeproject/ade,Open Mainframe
openmainframeproject/atompkg-language-zvm-gml,Open Mainframe
openmainframeproject/atompkg-language-zvm-names,Open Mainframe
openmainframeproject/atompkg-language-zvm-rexx,Open Mainframe
openmainframeproject/immunichain,Open Mainframe
opennetworkinglab/onos,ONOS
opensds/arch-wg,OpenSDS
opensds/community,OpenSDS
opensds/k8s_nvmeof_poc,OpenSDS
opensds/nbp,OpenSDS
opensds/opensds,OpenSDS
opensds/opensds-api-specs,OpenSDS
opensds/proposals,OpenSDS
opensds/sdscontroller_proto,OpenSDS
opensds/storage-sdk,OpenSDS
opensds/tsc,OpenSDS
opensecuritycontroller/community,Open Security Controller
opensecuritycontroller/opensecuritycontroller.org,Open Security Controller
opensecuritycontroller/osc-ci-config,Open Security Controller
opensecuritycontroller/osc-core,Open Security Controller
opensecuritycontroller/osc-nuage-plugin,Open Security Controller
opensecuritycontroller/osc-pan-plugin,Open Security Controller
opensecuritycontroller/sdn-controller-api,Open Security Controller
opensecuritycontroller/sdn-controller-nsc-plugin,Open Security Controller
opensecuritycontroller/sdn-controller-nsfc-plugin,Open Security Controller
opensecuritycontroller/security-mgr-api,Open Security Controller
opensecuritycontroller/security-mgr-sample-plugin,Open Security Controller
openstack-charmers/charm-glance-simplestreams-sync,OpenStack Glance
openstack-charmers/charm-interface-keystone,OpenStack Keystone
openstack-charmers/charm-interface-keystone-domain-backend,OpenStack Keystone
openstack-charmers/charm-keystone-ldap,OpenStack Keystone
openstack-charmers/charm-layer-openstack-api,OpenStack API
openstack-charmers/charm-nova-compute-proxy,OpenStack Nova
openstack-charmers/charm-template-api,OpenStack API
openstack-charmers/charm-template-neutron-plugin,OpenStack Neutron
openstack-charmers/migration-tools,OpenStack Tools
openstack-charmers/openstack-charms-tools,OpenStack Tools
openstack-charmers/openstack-community,OpenStack Community
openstack-charmers/release-tools,OpenStack Tools
openstack-dev/heat-cfnclient,OpenStack Heat
openstack-hyper-v/ewsapi,OpenStack API
openstack-hyper-v/puppet-petools,OpenStack Tools
openstack-infra/infra-manual,OpenStack Manuals
openstack-infra/release-tools,OpenStack Tools
openstack-kr/ubuntu-script-community-ver,OpenStack Community
openstack-snaps/snap-glance,OpenStack Glance
openstack-snaps/snap-keystone,OpenStack Keystone
openstack-snaps/snap-neutron,OpenStack Neutron
openstack-snaps/snap-nova,OpenStack Nova
openstack-snaps/snap-nova-hypervisor,OpenStack Nova
